BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year,Page_NO,Type
Thistles and Thieves,Molly MacRae,3.84,73,17,Pegasus Books,January,2020,352,Hardcover
Hi Five,Joe Ide,3.69,132,35,Mulholland Books,January,2020,352,Kindle Edition
Parable of the Sower,Damian Duffy,3.85,86,58,Harry N. Abrams,January,2020,272,Hardcover
To the Edge of Sorrow,Aharon Appelfeld,4.33,24,10,Schocken Books Inc,January,2020,304,Hardcover
The Deep & Dark Blue,Niki Smith,4.16,156,51,"Little, Brown Books for Young Readers",January,2020,256,Paperback
Pine,Francine Toon,3.97,189,73,Doubleday,January,2020,336,Hardcover
The Lost Scroll of the Physician,Alisha Sevigny,4.13,31,24,Dundurn,January,2020,200,Kindle Edition
Gone by Nightfall,Dee Garretson,4.11,35,28,Swoon Reads,January,2020,304,Hardcover
19 Love Songs,David Levithan,3.89,128,40,Penguin Random House,January,2020,320,Paperback
A Hero Comes Home,Sandra Hill,4.5,32,11,Avon,January,2020,384,ebook
The Girl with the Golden Scissors: A Novel,Julia Drosten,4.21,77,13,Amazon Crossing,January,2020,332,Paperback
