,BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year
75,Salvation Lost,Peter F. Hamilton,4.4,332,39,Random House,October,2019
76,Murder Can Mess Up Your Masterpiece,Rose Pressey,4.1,52,39,Kensington Publishing Corporation,October,2019
77,"A Distance Too Grand (American Wonders Collection, #1)",Regina Scott,4.28,164,133,Revell,October,2019
78,The Best at It,Maulik Pancholy,4.27,102,38,Balzer + Bray,October,2019
79,How Fires End,Marco Rafalà,4.59,181,39,Little A,October,2019
81,The Name of All Things,Jenn Lyons,4.3,100,36,Tor Books,October,2019
82,Hex Life: Wicked New Tales of Witchery,Christopher Golden,3.83,192,62,Titan Books,October,2019
83,Daughters of Nri,Reni K Amayo,4.2,60,43,Onwe Press,October,2019
84,Trinity Sight,Jennifer Givhan,3.91,47,20,Blackstone Publishing,October,2019
86,Divide Me By Zero,Lara Vapnyar,3.82,68,22,Tin House Books,October,2019
87,Light It Up,Kekla Magoon,4.27,60,25,Henry Holt and Co. (BYR),October,2019
88,Take the Mic: Fictional Stories of Everyday Resistance,Bethany C. Morrow,4.23,47,20,Arthur A. Levine Books,October,2019
89,The Tornado,Jake Burt,4.49,69,38,Feiwel  Friends,October,2019
90,Here Until August: Stories,Josephine Rowe,4.44,45,9,Catapult,October,2019
91,False Bingo: Stories,Jac Jemc,3.95,84,44,MCD X Fsg Originals,October,2019
92,You Can See More From Up Here,Mark Guerin,4.38,24,18,Golden Antelope Press,October,2019
93,Deeplight,Frances Hardinge,4.37,132,63,Macmillan Children's Books,October,2019
94,Watershed,Mark Barr,4.31,32,9,Hub City Press,October,2019
95,Things We Say in the Dark,Kirsty Logan,4.26,122,33,Harvill Secker,October,2019
96,The Weight of a Moment,Michael  Bowe,4.6,52,33,Villa Campanile Press,October,2019
97,Bury the Lede,Gaby Dunn,3.47,265,118,Boom! Studios,October,2019
