BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year,Page_NO,Type
The Monstrous Citadel,Mirah Bolender,4.0,32,6,Tor Books,November,2019,416,Paperback
Upon the Flight of the Queen,Howard Andrew Jones,4.48,40,24,St. Martin's Press,November,2019,432,Hardcover
The Ghost in Apartment 2R,Denis Markell,3.83,35,23,Delacorte Press,November,2019,320,Hardcover
Pastorale,Stephan Enter,4.18,28,7,Van Oorschot,November,2019,300,Hardcover
Chokehold,David Moody,4.09,33,13,St. Martin's Griffin,November,2019,348,Kindle Edition
What Burns,Dale Peck,3.33,9,4,Soho Press,November,2019,216,Paperback
The Elementalist: Rise of Hara,T. M.  White,3.17,18,19,Chandra City Publishing,November,2019,560,Kindle Edition
The Highlanders,J'nell Ciesielski,4.53,30,17,Lighthouse Publishing of the Carolinas,November,2019,301,Kindle Edition
Seven Samurai Swept Away in a River,Jung Young Moon,3.64,11,5,Deep Vellum Publishing,November,2019,112,Paperback
A Sister’s Courage,Molly Green,4.25,12,5,Avon,November,2019,400,Paperback
Daughter of the Tigris,Muhsin Al-Ramli,3.5,6,3,Maclehose Press,November,2019,384,Paperback
